"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1927","Ontario","2016A000235","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47894","6.5","1197","","","","0"
"1927","Ontario","2016A000235","Value of natural honey and wax","Dollars","81","thousands","3","v47904","6.6","1252","","","t","0"
"1927","Manitoba","2016A000246","Beekeepers","Number","223","units ","0","v47855","7.1","1990","","","","0"
"1927","Manitoba","2016A000246","Colonies","Number","223","units ","0","v47865","7.2","30240","","","","0"
"1927","Manitoba","2016A000246","Average yield per colony","Pounds","254","units ","0","v47875","7.3","122","","","t","0"
"1927","Manitoba","2016A000246","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47885","7.4","3694","","","","0"
"1927","Manitoba","2016A000246","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47895","7.5","480","","","","0"
"1927","Manitoba","2016A000246","Value of natural honey and wax","Dollars","81","thousands","3","v47905","7.6","503","","","t","0"
"1927","Saskatchewan","2016A000247","Beekeepers","Number","223","units ","0","v47856","8.1","930","","","","0"
"1927","Saskatchewan","2016A000247","Colonies","Number","223","units ","0","v47866","8.2","3800","","","","0"
"1927","Saskatchewan","2016A000247","Average yield per colony","Pounds","254","units ","0","v47876","8.3","132","","","t","0"
"1927","Saskatchewan","2016A000247","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47886","8.4","501","","","","0"
"1927","Saskatchewan","2016A000247","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47896","8.5","104","","","","0"
"1927","Saskatchewan","2016A000247","Value of natural honey and wax","Dollars","81","thousands","3","v47906","8.6","109","","","t","0"
"1927","Alberta","2016A000248","Beekeepers","Number","223","units ","0","v47857","9.1","200","","","","0"
"1927","Alberta","2016A000248","Colonies","Number","223","units ","0","v47867","9.2","3450","","","","0"
"1927","Alberta","2016A000248","Average yield per colony","Pounds","254","units ","0","v47877","9.3","87","","","t","0"
"1927","Alberta","2016A000248","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47887","9.4","300","","","","0"
"1927","Alberta","2016A000248","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47897","9.5","60","","","","0"
"1927","Alberta","2016A000248","Value of natural honey and wax","Dollars","81","thousands","3","v47907","9.6","63","","","t","0"
"1927","British Columbia","2016A000259","Beekeepers","Number","223","units ","0","v47858","10.1","2640","","","","0"
"1927","British Columbia","2016A000259","Colonies","Number","223","units ","0","v47868","10.2","18710","","","","0"
"1927","British Columbia","2016A000259","Average yield per colony","Pounds","254","units ","0","v47878","10.3","53","","","t","0"
"1927","British Columbia","2016A000259","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47888","10.4","987","","","","0"
"1927","British Columbia","2016A000259","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47898","10.5","217","","","","0"
"1927","British Columbia","2016A000259","Value of natural honey and wax","Dollars","81","thousands","3","v47908","10.6","227","","","t","0"
"1928","Canada","2016A000011124","Beekeepers","Number","223","units ","0","v47849","1.1","22672","","","","0"
"1928","Canada","2016A000011124","Colonies","Number","223","units ","0","v47859","1.2","335670","","","","0"
"1928","Canada","2016A000011124","Average yield per colony","Pounds","254","units ","0","v47869","1.3","66","","","t","0"
"1928","Canada","2016A000011124","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47879","1.4","22225","","","","0"
"1928","Canada","2016A000011124","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47889","1.5","2441","","","","0"
